"","Title","Author l-f","ISBN13","Date Borrowed","Year Read","Author","Additional Authors","ISBN10","Number of Pages","Year Published","Original Publication Year","Date Read","User Genre","Fiction Status","User Tags","Ownership Status","Buy?"
"299","The Fab Life (The Kihanna Saga, #1)","Amare, Mercy",NA,NA,2016,NA,NA,NA,297,2013,2013,NA,NA,NA,NA,NA,NA
"300","Unbreakable (Unbreakable, #1)","Shea, Rebecca","9781489553201",NA,2016,NA,NA,"1489553207",314,2013,2013,NA,NA,NA,NA,NA,NA
"301","Jump (Twinmaker, #1)","Williams, Sean","9781743315866",NA,2017,NA,NA,"1743315864",416,2013,2013,NA,NA,NA,NA,NA,NA
"302","Tesla (Tesla Evolution #1)","Lingane, Mark","9780992377946",NA,2017,NA,NA,NA,284,2013,2013,NA,NA,NA,NA,NA,NA
"303","Fox 8","Saunders, George","9780812995329",NA,2021,NA,NA,"0812995325",21,2013,2013,NA,NA,NA,NA,NA,"y"
"304","Orientation (The Commorancy, #1)","Line, Al K.",NA,NA,2014,NA,NA,NA,345,2014,2014,NA,NA,NA,NA,NA,NA
"305","I Know Lucy (A Fugitive #1)","Pearl, Melissa",NA,NA,2014,NA,NA,NA,228,2014,2014,NA,NA,NA,NA,NA,NA
"306","The Problem with Crazy (Crazy In Love, #1)","McKellar, Lauren K.","9780992452414",NA,2014,NA,NA,"0992452414",296,2014,2014,NA,NA,NA,NA,NA,NA
"307","Frozen Charlotte: A Ghost Story","Bell, Alex","9781338129380",NA,2015,NA,NA,"1338129384",297,2016,2014,NA,NA,NA,NA,NA,NA
"308","Never Forgotten (Never Forgotten, #1)","Risser, Kelly","9781940534534",NA,2015,NA,NA,NA,380,2014,2014,NA,NA,NA,NA,NA,NA
"309","Night Vision","West, Ella","9781743317662",NA,2016,NA,NA,"1743317662",180,2014,2014,NA,NA,NA,NA,NA,NA
"310","The Academy - Thief: Volume 1 (The Scarab Beetle Series) by C. L. Stone (2014-03-26)","Stone, C.L.",NA,NA,2016,NA,NA,NA,NA,2014,2014,NA,NA,NA,NA,NA,NA
"311","Bound (Forbidden, #1)","Anne, Melody","9781500395445",NA,2016,NA,NA,"1500395447",484,2014,2014,NA,NA,NA,NA,NA,NA
"312","Breaking Rules (Breaking, #1)","Puckett, Tracie",NA,NA,2016,NA,NA,NA,250,2014,2014,NA,NA,NA,NA,NA,NA
"313","Ice (The Poseidon's Girls Trilogy Book 1)","Watson, M.S.",NA,NA,2016,NA,NA,NA,163,2014,2014,NA,NA,NA,NA,NA,NA
"314","The Secret Diamond Sisters (The Secret Diamond Sisters, #1)","Madow, Michelle","9780373211098",NA,2016,NA,NA,"0373211090",382,2014,2014,NA,NA,NA,NA,NA,NA
"315","The Intern (The Intern, #1)","Tozer, Gabrielle","9780732297053",NA,2017,NA,NA,"0732297052",327,2014,2014,NA,NA,NA,NA,NA,NA
"316","Evensong (Meratis Trilogy, #1)","Walsh, Krista",NA,NA,2017,NA,NA,NA,317,2014,2014,NA,NA,NA,NA,NA,NA
"317","The Walker's Guide to Outdoor Clues and Signs","Gooley, Tristan",NA,NA,2020,NA,NA,"1444780107",438,2014,2014,NA,"nature","non-fiction",NA,NA,"y"
"318","A History of America in Thirty-Six Postage Stamps","West, Chris","9781250043689",NA,2021,NA,NA,"1250043689",352,2014,2014,NA,"history","non-fiction",NA,NA,NA
"319","Opulent Oceans: Extraordinary Rare Book Selections from the American Museum of Natural History Library (Natural Histories)","Stiassny, Melanie L.J.","9781454913412",NA,2021,NA,NA,"145491341X",176,2014,2014,NA,"nature","non-fiction",NA,NA,NA
"320","The Snowden Files: The Inside Story of the World's Most Wanted Man","Harding, Luke","9780804173520",NA,2021,NA,NA,"0804173524",333,2014,2014,NA,"history;biography","non-fiction",NA,NA,NA
"321","The Gifting (Gifting #1)","Ganshert, K.E.",NA,NA,2015,NA,"Heather Masters",NA,NA,2016,2015,NA,NA,NA,NA,NA,NA
"322","Diary of a Fat Girl (Burn Diaries Book 1)","Mugweni, Moira",NA,NA,2016,NA,NA,NA,242,2018,2015,NA,NA,NA,NA,NA,NA
"323","The Ones We Trust","Belle, Kimberly",NA,NA,2017,NA,NA,NA,301,2015,2015,NA,NA,NA,NA,NA,NA
"324","Spectacle","Pierce, S.J.",NA,NA,2017,NA,NA,NA,NA,2015,2015,NA,NA,NA,NA,NA,NA
"325","Remembering Christchurch","Parr, Alison","9780143573371",NA,2021,NA,NA,NA,256,2015,2015,NA,"history;new-zealand","non-fiction",NA,NA,"y"
"326","Visual Intelligence: Sharpen Your Perception, Change Your Life","Herman, Amy E.",NA,NA,2021,NA,NA,NA,341,2016,2015,NA,"productivity","non-fiction",NA,NA,"y"
"327","Seeking New York","Miller, Tom","9781910258002",NA,2021,NA,NA,"1910258008",256,2015,2015,NA,"history","non-fiction",NA,NA,"y"
"328","The Book of Samurai: The Fundamental Teachings","Cummins, Antony","9781780288888",NA,2021,NA,"Yoshie Minami","1780288883",544,2015,2015,NA,NA,"non-fiction",NA,NA,"y"
"329","The Leveller (The Leveller, #1)","Durango, Julia","9780062314000",NA,2023,NA,NA,"0062314009",256,2015,2015,NA,NA,NA,NA,NA,NA
"330","Never Never","Hoover, Colleen","9781335004888",NA,2016,NA,"Tarryn Fisher","1335004882",416,2023,2016,NA,NA,NA,NA,NA,NA
"331","Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)","Rowling, J.K.",NA,NA,2021,NA,"Jack Thorne, John Tiffany",NA,343,2016,2016,NA,NA,NA,NA,NA,NA
"332","The Barber Book","Press, Phaidon","9780714871042",NA,2021,NA,NA,"0714871044",192,2016,2016,NA,NA,"non-fiction",NA,NA,NA
"333","Dark Matter","Crouch, Blake","9781101904220",NA,2023,NA,NA,"1101904224",352,2016,2016,NA,"thriller",NA,NA,NA,NA
"334","The Chalk Artist","Goodman, Allegra",NA,NA,2020,NA,NA,NA,352,2017,2017,NA,NA,NA,NA,NA,NA
"335","Idaho","Ruskovich, Emily",NA,NA,2021,NA,NA,NA,320,2017,2017,NA,NA,NA,NA,NA,"y"
"336","The Rise and Fall of D.O.D.O. (D.O.D.O., #1)","Stephenson, Neal","9780062409164",NA,2021,NA,"Nicole Galland","0062409166",752,2017,2017,NA,NA,NA,NA,NA,NA
"337","Waking Gods (Themis Files, #2)","Neuvel, Sylvain","9781101886724",NA,2021,NA,NA,"1101886722",336,2017,2017,NA,NA,NA,NA,NA,NA
"338","A Conspiracy in Belgravia (Lady Sherlock, #2)","Thomas, Sherry",NA,NA,2021,NA,NA,NA,NA,2017,2017,NA,NA,NA,NA,NA,NA
"339","Calling Major Tom","Barnett, David M.",NA,NA,2021,NA,NA,NA,338,2017,2017,NA,NA,NA,NA,NA,NA
"340","No One Can Pronounce My Name","Satyal, Rakesh",NA,NA,2021,NA,NA,NA,402,2017,2017,NA,NA,NA,NA,NA,NA
"341","Eleanor Oliphant Is Completely Fine","Honeyman, Gail","9780008172145",NA,2023,NA,NA,"0008172145",390,2018,2017,NA,NA,NA,NA,NA,NA
"342","The Child Finder (Naomi Cottle, #1)","Denfeld, Rene","9780062659057",NA,2023,NA,NA,"0062659057",274,2017,2017,NA,NA,NA,NA,NA,NA
"343","Calculated Deception (The Calculated, #1)","Lee, K.T.","9781947870000",NA,2023,NA,NA,"1947870009",258,2017,2017,NA,"thriller;mystery;suspense",NA,NA,NA,NA
"344","Ways to Hide in Winter","Vincent, Sarah St.",NA,NA,2020,NA,NA,NA,233,2018,2018,NA,NA,NA,NA,NA,"y"
"345","The Skeptics' Guide to the Universe: How to Know What's Really Real in a World Increasingly Full of Fake","Novella, Steven","9781538760536",NA,2020,NA,"Bob Novella, Cara Santa Maria, Jay Novella, Evan Bernstein","1538760533",512,2018,2018,NA,"science","non-fiction",NA,NA,NA
"346","Foe","Reid, Iain","9781501103476",NA,2021,NA,NA,"1501103474",224,2018,2018,NA,NA,NA,NA,NA,NA
"347","The Perils of Perception: Why We're Wrong About Nearly Everything","Duffy, Bobby",NA,NA,2021,NA,NA,NA,320,2018,2018,NA,"productivity","non-fiction",NA,NA,NA
"348","You Were Made for This","Sacks, Michelle","9780316475402",NA,2021,NA,NA,"0316475408",341,2018,2018,NA,"thriller;mystery;suspense",NA,NA,NA,NA
"349","Time Bomb","Charbonneau, Joelle","9780544416703",NA,2023,NA,NA,"0544416708",340,2018,2018,NA,"suspense;mystery",NA,NA,NA,NA
"350","Emily Eternal","Wheaton, M.G.","9781538730393",NA,2020,NA,NA,"1538730391",304,2019,2019,NA,NA,NA,NA,NA,NA
"351","Guestbook: Ghost Stories","Shapton, Leanne","9781846144936",NA,2020,NA,NA,"1846144930",305,2019,2019,NA,NA,NA,NA,NA,NA
"352","Platform Seven","Doughty, Louise","9780571321940",NA,2020,NA,NA,"0571321941",448,2019,2019,NA,NA,NA,NA,NA,NA
"353","Middlegame (Alchemical Journeys, #1)","McGuire, Seanan","9781250223357",NA,2021,NA,"Amber Benson",NA,18,2019,2019,NA,NA,NA,NA,NA,"y"
"354","10 Minutes 38 Seconds in This Strange World","Shafak, Elif","9780241293867",NA,2021,NA,NA,"0241293863",312,2019,2019,NA,NA,NA,NA,NA,NA
"355","The Daughters of Temperance Hobbs (The Physick Book, #2)","Howe, Katherine","9781250304865",NA,2021,NA,NA,"1250304865",338,2019,2019,NA,NA,NA,NA,NA,"y"
"356","Under the Water","Pen, Paul","9781542042062",NA,2021,NA,"Simon Bruni","1542042062",313,2019,2019,NA,"thriller;mystery;suspense",NA,NA,NA,"y"
"357","The Heavens","Newman, Sandra","9781783784844",NA,2021,NA,NA,"1783784849",272,2019,2019,NA,NA,NA,NA,NA,NA
"358","Triangulum","Ntshanga, Masande","9781937512774",NA,2021,NA,NA,"1937512770",384,2019,2019,NA,NA,NA,NA,NA,NA
"359","Gamechanger (The Bounceback, #1)","Beckett, L.X.",NA,NA,2021,NA,NA,NA,576,2019,2019,NA,NA,NA,NA,NA,NA
"360","Lights All Night Long","Fitzpatrick, Lydia","9780525558750",NA,2021,NA,NA,"0525558756",340,2020,2019,NA,NA,NA,NA,NA,NA
"361","Zed","Kavenna, Joanna",NA,NA,2021,NA,NA,NA,352,2019,2019,NA,NA,NA,NA,NA,NA
"362","Dead Astronauts (Borne, #2)","VanderMeer, Jeff",NA,NA,2021,NA,NA,NA,352,2019,2019,NA,NA,NA,NA,NA,NA
"363","The Dreamers","Walker, Karen Thompson","9780812994162",NA,2021,NA,NA,"0812994167",303,2019,2019,NA,NA,NA,NA,NA,NA
"364","Face of Death (Zoe Prime #1)","Gold, Stella",NA,NA,2023,NA,"Blake Pierce",NA,226,2019,2019,NA,NA,NA,NA,NA,NA
"365","Echoes of Another","Clarke, Chandra","9780973039580",NA,2020,NA,NA,NA,355,2020,2020,NA,NA,NA,NA,NA,NA
"366","The Butterfly Lampshade","Bender, Aimee",NA,NA,2020,NA,NA,NA,255,2020,2020,NA,NA,NA,NA,NA,NA
"367","Bubblegum","Levin, Adam","9780593169346",NA,2021,NA,"Mark Deakins, Michael Crouch, Julia Whelan","0593169344",36,2020,2020,NA,NA,NA,NA,NA,NA
"368","American Sherlock: Murder, Forensics, and the Birth of American CSI","Dawson, Kate Winkler","9780525539551",NA,2021,NA,NA,"0525539557",336,2020,2020,NA,"history;biography","non-fiction",NA,NA,"y"
"369","Coming Up for Air","Leipciger, Sarah","9781487006501",NA,2021,NA,NA,"1487006500",320,2020,2020,NA,NA,NA,NA,NA,NA
"370","The Lightness","Temple, Emily",NA,NA,2021,NA,NA,NA,275,2020,2020,NA,NA,NA,NA,NA,NA
"371","2084 Video Study: Artificial Intelligence and the Future of Humanity","Lennox, John C.","9780310109600",NA,2021,NA,NA,"0310109604",NA,2020,2020,NA,NA,"non-fiction",NA,NA,NA
"372","Not Born Yesterday: The Science of Who We Trust and What We Believe","Mercier, Hugo","9780691178707",NA,2021,NA,NA,"0691178704",384,2020,2020,NA,"productivity","non-fiction",NA,NA,NA
"373","A Star Is Bored","Lane, Byron","9781250266491",NA,2021,NA,NA,"1250266491",343,2020,2020,NA,NA,NA,NA,NA,NA
"374","Reality and Other Stories","Lanchester, John","9780393540918",NA,2021,NA,NA,"039354091X",192,2021,2020,NA,NA,NA,NA,NA,NA
"375","Five Total Strangers","Richards, Natalie D.",NA,NA,2023,NA,NA,NA,299,NA,2020,NA,"thriller",NA,NA,NA,"y"
"376","Vera Rubin: A Life","Mitton, Jacqueline","9780674919198",NA,2021,NA,"Simon Mitton, Jocelyn Bell Burnell","067491919X",320,2021,2021,NA,"history;biography;astronomy","non-fiction",NA,NA,"y"
"377","One Night, New York","Thompson, Lara","9781643138398",NA,2021,NA,NA,"1643138391",336,2021,2021,NA,NA,NA,NA,NA,NA
"378","Driftwood","Cassidy, Cathy",NA,NA,2013,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA
"379","Ignite (Project Integrate, #0.5)","Campbell, Jamie",NA,NA,2015,NA,NA,NA,48,2013,2013,NA,NA,NA,NA,NA,NA
"380","Insanity (Mad in Wonderland - Alice Wonder series) Books 1 - 5","Jace, Cameron",NA,NA,2015,NA,NA,NA,1386,2018,2014,NA,NA,NA,NA,NA,NA
"381","Stargazing for Dummies","Owens, Steve","9781118411575",NA,2018,NA,NA,"1118411579",352,2013,2013,NA,"astronomy","non-fiction",NA,"own-physical",NA
"382","Reading the Clouds: How You Can Forecast the Weather","Perkins, Oliver","9781472960184",NA,2020,NA,"Tom Cunliffe, Duncan Wells","1472960181",128,2019,2019,NA,"nature","non-fiction",NA,NA,NA
"383","The Tree","Woldendorp, Richard","9781925591699",NA,2020,NA,NA,"1925591697",144,2019,2013,NA,"nature","non-fiction",NA,NA,NA
"384","Read This if You Want to Be a Great Writer","Raisin, Ross","9781786271976",NA,2021,NA,NA,"1786271974",136,2018,2018,NA,"productivity","non-fiction",NA,NA,NA
"385","A Photographic Guide To Mushrooms And Other Fungi Of New Zealand (Photographic Guide)","Ridley, G.S.","9781869661342",NA,2021,NA,NA,"1869661346",143,2006,2006,NA,"nature","non-fiction",NA,NA,NA
"386","Gravity Well","Joosten, Melanie","9781925322057",NA,2021,NA,NA,"192532205X",288,2017,2017,NA,"astronomy",NA,NA,NA,NA
"387","La caja y la luna: The box and the moon","Romero, Patricia","9788417268077",NA,2021,NA,"Vicky Collar","8417268073",30,2017,2017,NA,"spanish",NA,NA,NA,NA
"388","The Big, Bad Book of Botany: The World's Most Fascinating Flora","Largo, Michael",NA,NA,2021,NA,NA,NA,419,2014,2014,NA,"nature","non-fiction",NA,NA,NA
"389","Vedic Mathematics","Agrawala, V S","9.78812e+12",NA,2023,NA,"Jagadguru Sankaracarya Sri Bharati Krsna Tirthaji Maharaja of Govadharna Matha Puri",NA,355,2018,1992,NA,"hinduism;mathematics;india","non-fiction",NA,"own-physical",NA
"390","India's Security in a Turbulent World","Singh, Jasjit","9.78812e+12",NA,2023,NA,NA,NA,175,2015,2013,NA,"india","non-fiction",NA,"own-physical",NA
"391","Indian Society: Institutions and Change","Sharma, Rajendra K","9.78817e+12",NA,2023,NA,NA,NA,378,2022,2004,NA,"hinduism;india","non-fiction",NA,"own-physical",NA
"392","Principles of Indian Geography","Study IQ Education","9.78939e+12",NA,2023,NA,NA,NA,342,2022,2022,NA,"india;geography","non-fiction",NA,"own-physical",NA
"393","Indian History","Pandey, Manohar","9.78936e+12",NA,2023,NA,NA,"9358892021",472,2023,2023,NA,"india;history","non-fiction",NA,"own-physical",NA
"394","Indian Heritage, Art, and Culture","Bhagat, Madhukur Kumar","9.78939e+12",NA,2023,NA,NA,NA,NA,2022,2022,NA,"india;history","non-fiction",NA,"own-physical",NA
"395","Geek Girl","Smale, Holly",NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Model Misfit","Smale, Holly",NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","Picture Perfect","Smale, Holly",NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","All That Glitters","Smale, Holly",NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Sunny Side Up","Smale, Holly",NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Head Over Heels","Smale, Holly",NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Forever Geek","Smale, Holly",NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Fool's Gold: Color Me Consumed","Carson, Melody",NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Bitter Rose: Color Me Crushed","Carson, Melody",NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Faded Denim: Color Me Trapped","Carson, Melody",NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Moon White: Color Me Enchanted","Carson, Melody",NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Going Bovine","Bray, Libby",NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","In case of emergency","Scott, E G",NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","The relentless moon","Kowal, Mary Robinette",NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Radio Rebel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","An Introduction to the Sun and Stars","Green, Simon","9781107492639",NA,2018,NA,"Mark Jones","1107492637",380,NA,2015,NA,"astronomy","non-fiction","college","own-physical",NA
"411","Elsewhere","Zevin, Gabrielle","9780312367466",NA,2016,NA,NA,"312367465",277,2007,2005,NA,NA,NA,NA,NA,NA
"412","Clockwise (Clockwise, #1)","Strauss, Elle","9781466440968",NA,2015,NA,NA,"1466440961",285,2015,2011,NA,NA,NA,NA,NA,NA
"413","Entangled","Clarke, Cat","9781849163941",NA,2016,NA,NA,"1849163944",385,2017,2011,NA,NA,NA,NA,NA,NA
"414","Vedic Mathematics","Agrawala, V S","9788120801646",NA,2023,NA,"Jagadguru Sankaracarya Sri Bharati Krsna Tirthaji Maharaja of Govadharna Matha Puri",NA,355,2018,1992,NA,"hinduism;mathematics;india","non-fiction",NA,"own-physical",NA
"415","India's Security in a Turbulent World","Singh, Jasjit","9788123767598",NA,2023,NA,NA,NA,175,2015,2013,NA,"india","non-fiction",NA,"own-physical",NA
"416","Indian Society: Institutions and Change","Sharma, Rajendra K","9788171566662",NA,2023,NA,NA,NA,378,2022,2004,NA,"hinduism;india","non-fiction",NA,"own-physical",NA
"417","Principles of Indian Geography","Study IQ Education","9789389924947",NA,2023,NA,NA,NA,342,2022,2022,NA,"india;geography","non-fiction",NA,"own-physical",NA
"418","Indian History","Pandey, Manohar","9789358892024",NA,2023,NA,NA,"9358892021",472,2023,2023,NA,"india;history","non-fiction",NA,"own-physical",NA
"419","Indian Heritage, Art, and Culture","Bhagat, Madhukur Kumar","9789394168961",NA,2023,NA,NA,NA,NA,2022,2022,NA,"india;history","non-fiction",NA,"own-physical",NA
