Book Title,Author l-f,Additional Authors,ISBN-10,ISBN-13,Number of Pages,Year Published,Original Publication Year,Year Read,User Genre,Fiction Status,User Tags,Ownership Status,Buy?
Finding Mr Flood,"Geraghty, Ciara",,1444757814,9781444757811,572,2012,2011,2015,,,,,
"Grey Eyes (The Forever Trilogy, #1)","Alston, Alston",,,,640,2011,2011,2015,,,,,
"Hidden Gem (Hidden Gem, #1)","Lee, India",,,9781458196330,,2011,2011,2015,,,,,
"Parallel (Travelers, #1)","Lefeve, Claudia",,,,266,2011,2011,2015,,,,,
"Stained (Stained, #1)","James, Ella",,,,254,2011,2011,2015,,,,,
"Stray (Touchstone, #1)","Höst, Andrea K.",,,,273,2011,2011,2015,,,,,
"Winterborne (Universe Unbound, #1)","Blythe, Augusta",,,,372,2019,2011,2015,,,,,
"Crossroads (Crossroads Saga, #1)","Ting, Mary",,1937085767,9781937085766,315,2011,2011,2015,,,,,
"Madly (Madly, #1)","Leighton, Michelle",,,,57,2011,2011,2015,,,,,
"Wander Dust (The Seraphina Parrish Trilogy, #1)","Warren, Michelle",,0984662103,9780984662104,374,2011,2011,2015,,,,,
"Water (Akasha, #1)","Harmony, Terra",,,,279,2011,2011,2015,,,,,
"Shatter Me (Shatter Me, #1)","Mafi, Tahereh",,0062085484,9780062085481,338,2011,2011,2015,,,,,
"Oddily (Oddily, #1)","Pohring, Linda",,,9781460985960,264,2011,2011,2015,,,,,
Rebirth (Rogues Shifter #1),"Parness, Gayle",,,,,2012,2011,2016,,,,,
Time's Daughter,"Breton, Anya",,,9781476136035,,2012,2011,2016,,,,,
"UnEnchanted (An Unfortunate Fairy Tale, #1)","Hahn, Chanda",,,,235,2011,2011,2016,,,,,
"Verity (Cursed, #1)","Farrell, Claire",,,,251,2011,2011,2016,,,,,
Wayward,"Girardi, Ashley",,,9781458137555,,2011,2011,2016,,,,,
"Anathema (Causal Enchantment, #1)","Tucker, K.A.",,0986915505,9780986915505,284,2011,2011,2016,,,,,
"Raven (The Raven Saga, #1)","Turner, Suzy",,,,273,2011,2011,2016,,,,,
"Redemption (Redemption, #1)","Ryals, R.K.",,1466392509,9781466392502,340,2011,2011,2016,,,,,
"The Rock Star's Daughter (Treadwell Academy, #1)","Duffy, Caitlyn",,0983398038,9780983398035,318,2011,2011,2016,,,,,
"The Girl Who Disappeared Twice (Forensic Instincts, Book 1)","Kane, Andrea",,,,394,2011,2011,2017,,,,,
Triple Ripple: A Fabulous Fairytale,"Lowry, Brigid",,1742692664,9781742692661,252,2011,2011,2017,,,,,
"Awakening (The Watchers, #1)","Bolton, Karice",,0615535186,9780615535180,312,2011,2011,2017,,,,,
"Eternal Eden (Eden Trilogy, #1)","Williams, Nicole",,,,394,2011,2011,2017,,,,,
Hidden Alaska: Bristol Bay and Beyond,"Atcheson, Dave",Michael Melford,1426207700,9781426207709,160,2011,2011,2021,nature,non-fiction,,,
Shadows of the Realm (The Circle of Talia #1),"Lister, Dionne",,098730786X,9780987307866,348,2012,2012,2013,,,,,
"Midnight Fire (Rise of the Dark Angel, #1)","Anne, Melody",,,,253,2012,2012,2014,,,,,
"Silence (Silence, #1)","Preston, Natasha",,,,206,2012,2012,2014,,,,,
In Your Dreams (In Your Dreams #1),"Martin, Amy",,,,,2012,2012,2015,,,,,
Sovereign Hope (The Hope Series #1),"Rose, Frankie",,,,393,2012,2012,2015,,,,,
"Whispers of the Damned (Ghost Games, #1)","Magee, Jamie",,,,189,2013,2012,2015,,,,,
"Evolution (Evolution, #1)","Carrero, Kelly",,,,219,2012,2012,2015,,,,,
Perception (The Perception Trilogy #1),"Strauss, Lee",,,,312,2016,2012,2015,,,,,
Snow White and the 7 Vampire Hunters,"Halstead, Kat",,,9781465850782,15,2012,2012,2015,,,,,
The Girl in the Converse Shoes,"Garcia, Yaritza",,,,10,2012,2012,2015,,,,,
The New Girl(Webster Grove #1),"Puckett, Tracie",,152380419X,9781523804191,122,2012,2012,2015,,,,,
Summer of My Secret Angel,"Shelly, Piper",Anna Katmore,,,474,2013,2012,2015,,,,,
Eleanor & Park,"Rowell, Rainbow",,1250012570,9781250012579,328,2013,2012,2015,,,,,
"Marking Time (The Immortal Descendants, #1)","White, April",,,,448,2022,2012,2016,,,,,
The Iron Butterfly (Iron Butterfly #1),"Hahn, Chanda",,1475070373,9781475070378,278,2012,2012,2016,,,,,
The Light Tamer,"Dawson, Devyn",,,9781476279503,,2012,2012,2016,,,,,
"Better Than Chocolate (Life in Icicle Falls, #1)","Roberts, Sheila",,077831345X,9780778313458,372,2012,2012,2016,,,,,
"The Game (The Game is Life, #1)","Schott, Terry",,,,289,2012,2012,2016,,,,,
"Wanted (Wanted, #1)","Elliott, Kelly","Nelson Hobbs, Arika Rapson",1452665524,9781452665528,,2013,2012,2016,,,,,
"Wake (Watersong, #1)","Hocking, Amanda",,1250005647,9781250005649,309,2013,2012,2017,,,,,
"Alone (The Girl in the Box, #1)","Crane, Robert J.",,,,166,2012,2012,2017,,,,,
"Barefoot Season (Blackberry Island, #1)","Mallery, Susan",,0778313387,9780778313380,368,2012,2012,2017,,,,,
Freaks Like Us,"Vaught, Susan",,1599908727,9781599908724,240,2012,2012,2017,,,,,
"Shadowfell (Shadowfell, #1)","Marillier, Juliet",,0375869549,9780375869549,410,2012,2012,2017,,,,,
"The Selection (The Selection, #1)","Cass, Kiera",,0062059939,9780062059932,336,2012,2012,2017,,,,,y
"Small Town Superhero (Small Town Superhero, #1)","Alsop, Cheree",,,,278,2014,2013,2013,,,,,
Free From the Tracks,"Bowes, K.T.",,,,,2013,2013,2013,,,,,
"Invisible (Invisible, #1)","Paterson, Cecily Anne",,,,270,2013,2013,2014,,,,,
"Rumors (Lingering Echoes, #0.5)","Kiefer, Erica",,1940534364,9781940534367,237,2013,2013,2014,,,,,
"Saving Wishes (Wishes, #1)","Walker-Smith, G.J.",,0987484516,9780987484512,368,2013,2013,2014,,,,,
"Planet Urth (Planet Urth, #1)","Martucci, Jennifer",,,,284,,2013,2014,,,,,
Mindspeak,"Sunseri, Heather",,0988715309,9780988715301,,2013,2013,2015,,,,,
"BlackMoon Beginnings (Prophesized, #1)","Hoyt, Kaitlyn",,,,248,2013,2013,2015,,,,,
Imperfect,"Chan, Tina",,,,,2013,2013,2015,,,,,
"Jaded (Rock Star trilogy, #1)","Amare, Mercy",,,,243,2013,2013,2015,,,,,
"When We Wake (When We Wake, #1)","Healey, Karen",,031620076X,9780316200769,304,2013,2013,2015,,,,,
Young Annabelle (Y.A #1),"Tork, Sarah",,,,227,2013,2013,2015,,,,,
Close Your Pretty Eyes,"Nicholls, Sally",,1407124323,9781407124322,292,2013,2013,2016,,,,,
"Dangerous (Dangerous Trilogy, #1)","Daniels, Suzannah",,,,214,2013,2013,2016,,,,,
It's Complicated,"Smith, Laura L.",,,,,2013,2013,2016,,,,,
"Perfectly Flawed (Flawed, #1)","Morgan, Nessa",,,9781311533586,644,2013,2013,2016,,,,,
Split Second,"McKenzie, Sophie",,1471115992,9781471115998,368,2014,2013,2016,,,,,
"The Fab Life (The Kihanna Saga, #1)","Amare, Mercy",,,,297,2013,2013,2016,,,,,
"Unbreakable (Unbreakable, #1)","Shea, Rebecca",,1489553207,9781489553201,314,2013,2013,2016,,,,,
"Jump (Twinmaker, #1)","Williams, Sean",,1743315864,9781743315866,416,2013,2013,2017,,,,,
Tesla (Tesla Evolution #1),"Lingane, Mark",,,9780992377946,284,2013,2013,2017,,,,,
Fox 8,"Saunders, George",,0812995325,9780812995329,21,2013,2013,2021,,,,,y
"Orientation (The Commorancy, #1)","Line, Al K.",,,,345,2014,2014,2014,,,,,
I Know Lucy (A Fugitive #1),"Pearl, Melissa",,,,228,2014,2014,2014,,,,,
"The Problem with Crazy (Crazy In Love, #1)","McKellar, Lauren K.",,0992452414,9780992452414,296,2014,2014,2014,,,,,
Frozen Charlotte: A Ghost Story,"Bell, Alex",,1338129384,9781338129380,297,2016,2014,2015,,,,,
"Never Forgotten (Never Forgotten, #1)","Risser, Kelly",,,9781940534534,380,2014,2014,2015,,,,,
Night Vision,"West, Ella",,1743317662,9781743317662,180,2014,2014,2016,,,,,
The Academy - Thief: Volume 1 (The Scarab Beetle Series) by C. L. Stone (2014-03-26),"Stone, C.L.",,,,,2014,2014,2016,,,,,
"Bound (Forbidden, #1)","Anne, Melody",,1500395447,9781500395445,484,2014,2014,2016,,,,,
"Breaking Rules (Breaking, #1)","Puckett, Tracie",,,,250,2014,2014,2016,,,,,
Ice (The Poseidon's Girls Trilogy Book 1),"Watson, M.S.",,,,163,2014,2014,2016,,,,,
"The Secret Diamond Sisters (The Secret Diamond Sisters, #1)","Madow, Michelle",,0373211090,9780373211098,382,2014,2014,2016,,,,,
"The Intern (The Intern, #1)","Tozer, Gabrielle",,0732297052,9780732297053,327,2014,2014,2017,,,,,
"Evensong (Meratis Trilogy, #1)","Walsh, Krista",,,,317,2014,2014,2017,,,,,
The Walker's Guide to Outdoor Clues and Signs,"Gooley, Tristan",,1444780107,,438,2014,2014,2020,nature,non-fiction,,,y
A History of America in Thirty-Six Postage Stamps,"West, Chris",,1250043689,9781250043689,352,2014,2014,2021,history,non-fiction,,,
Opulent Oceans: Extraordinary Rare Book Selections from the American Museum of Natural History Library (Natural Histories),"Stiassny, Melanie L.J.",,145491341X,9781454913412,176,2014,2014,2021,nature,non-fiction,,,
The Snowden Files: The Inside Story of the World's Most Wanted Man,"Harding, Luke",,0804173524,9780804173520,333,2014,2014,2021,history;biography,non-fiction,,,
The Gifting (Gifting #1),"Ganshert, K.E.",Heather Masters,,,,2016,2015,2015,,,,,
Diary of a Fat Girl (Burn Diaries Book 1),"Mugweni, Moira",,,,242,2018,2015,2016,,,,,
The Ones We Trust,"Belle, Kimberly",,,,301,2015,2015,2017,,,,,
Spectacle,"Pierce, S.J.",,,,,2015,2015,2017,,,,,
Remembering Christchurch,"Parr, Alison",,,9780143573371,256,2015,2015,2021,history;new-zealand,non-fiction,,,y
"Visual Intelligence: Sharpen Your Perception, Change Your Life","Herman, Amy E.",,,,341,2016,2015,2021,productivity,non-fiction,,,y
Seeking New York,"Miller, Tom",,1910258008,9781910258002,256,2015,2015,2021,history,non-fiction,,,y
The Book of Samurai: The Fundamental Teachings,"Cummins, Antony",Yoshie Minami,1780288883,9781780288888,544,2015,2015,2021,,non-fiction,,,y
"The Leveller (The Leveller, #1)","Durango, Julia",,0062314009,9780062314000,256,2015,2015,2023,,,,,
Never Never,"Hoover, Colleen",Tarryn Fisher,1335004882,9781335004888,416,2023,2016,2016,,,,,
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)","Rowling, J.K.","Jack Thorne, John Tiffany",,,343,2016,2016,2021,,,,,
The Barber Book,"Press, Phaidon",,0714871044,9780714871042,192,2016,2016,2021,,non-fiction,,,
Dark Matter,"Crouch, Blake",,1101904224,9781101904220,352,2016,2016,2023,thriller,,,,
The Chalk Artist,"Goodman, Allegra",,,,352,2017,2017,2020,,,,,
Idaho,"Ruskovich, Emily",,,,320,2017,2017,2021,,,,,y
"The Rise and Fall of D.O.D.O. (D.O.D.O., #1)","Stephenson, Neal",Nicole Galland,0062409166,9780062409164,752,2017,2017,2021,,,,,
"Waking Gods (Themis Files, #2)","Neuvel, Sylvain",,1101886722,9781101886724,336,2017,2017,2021,,,,,
"A Conspiracy in Belgravia (Lady Sherlock, #2)","Thomas, Sherry",,,,,2017,2017,2021,,,,,
Calling Major Tom,"Barnett, David M.",,,,338,2017,2017,2021,,,,,
No One Can Pronounce My Name,"Satyal, Rakesh",,,,402,2017,2017,2021,,,,,
Eleanor Oliphant Is Completely Fine,"Honeyman, Gail",,0008172145,9780008172145,390,2018,2017,2023,,,,,
"The Child Finder (Naomi Cottle, #1)","Denfeld, Rene",,0062659057,9780062659057,274,2017,2017,2023,,,,,
"Calculated Deception (The Calculated, #1)","Lee, K.T.",,1947870009,9781947870000,258,2017,2017,2023,thriller;mystery;suspense,,,,
Ways to Hide in Winter,"Vincent, Sarah St.",,,,233,2018,2018,2020,,,,,y
The Skeptics' Guide to the Universe: How to Know What's Really Real in a World Increasingly Full of Fake,"Novella, Steven","Bob Novella, Cara Santa Maria, Jay Novella, Evan Bernstein",1538760533,9781538760536,512,2018,2018,2020,science,non-fiction,,,
Foe,"Reid, Iain",,1501103474,9781501103476,224,2018,2018,2021,,,,,
The Perils of Perception: Why We're Wrong About Nearly Everything,"Duffy, Bobby",,,,320,2018,2018,2021,productivity,non-fiction,,,
You Were Made for This,"Sacks, Michelle",,0316475408,9780316475402,341,2018,2018,2021,thriller;mystery;suspense,,,,
Time Bomb,"Charbonneau, Joelle",,0544416708,9780544416703,340,2018,2018,2023,suspense;mystery,,,,
Emily Eternal,"Wheaton, M.G.",,1538730391,9781538730393,304,2019,2019,2020,,,,,
Guestbook: Ghost Stories,"Shapton, Leanne",,1846144930,9781846144936,305,2019,2019,2020,,,,,
Platform Seven,"Doughty, Louise",,0571321941,9780571321940,448,2019,2019,2020,,,,,
"Middlegame (Alchemical Journeys, #1)","McGuire, Seanan",Amber Benson,,9781250223357,18,2019,2019,2021,,,,,y
10 Minutes 38 Seconds in This Strange World,"Shafak, Elif",,0241293863,9780241293867,312,2019,2019,2021,,,,,
"The Daughters of Temperance Hobbs (The Physick Book, #2)","Howe, Katherine",,1250304865,9781250304865,338,2019,2019,2021,,,,,y
Under the Water,"Pen, Paul",Simon Bruni,1542042062,9781542042062,313,2019,2019,2021,thriller;mystery;suspense,,,,y
The Heavens,"Newman, Sandra",,1783784849,9781783784844,272,2019,2019,2021,,,,,
Triangulum,"Ntshanga, Masande",,1937512770,9781937512774,384,2019,2019,2021,,,,,
"Gamechanger (The Bounceback, #1)","Beckett, L.X.",,,,576,2019,2019,2021,,,,,
Lights All Night Long,"Fitzpatrick, Lydia",,0525558756,9780525558750,340,2020,2019,2021,,,,,
Zed,"Kavenna, Joanna",,,,352,2019,2019,2021,,,,,
"Dead Astronauts (Borne, #2)","VanderMeer, Jeff",,,,352,2019,2019,2021,,,,,
The Dreamers,"Walker, Karen Thompson",,0812994167,9780812994162,303,2019,2019,2021,,,,,
Face of Death (Zoe Prime #1),"Gold, Stella",Blake Pierce,,,226,2019,2019,2023,,,,,
Echoes of Another,"Clarke, Chandra",,,9780973039580,355,2020,2020,2020,,,,,
The Butterfly Lampshade,"Bender, Aimee",,,,255,2020,2020,2020,,,,,
Bubblegum,"Levin, Adam","Mark Deakins, Michael Crouch, Julia Whelan",0593169344,9780593169346,36,2020,2020,2021,,,,,
"American Sherlock: Murder, Forensics, and the Birth of American CSI","Dawson, Kate Winkler",,0525539557,9780525539551,336,2020,2020,2021,history;biography,non-fiction,,,y
Coming Up for Air,"Leipciger, Sarah",,1487006500,9781487006501,320,2020,2020,2021,,,,,
The Lightness,"Temple, Emily",,,,275,2020,2020,2021,,,,,
2084 Video Study: Artificial Intelligence and the Future of Humanity,"Lennox, John C.",,0310109604,9780310109600,,2020,2020,2021,,non-fiction,,,
Not Born Yesterday: The Science of Who We Trust and What We Believe,"Mercier, Hugo",,0691178704,9780691178707,384,2020,2020,2021,productivity,non-fiction,,,
A Star Is Bored,"Lane, Byron",,1250266491,9781250266491,343,2020,2020,2021,,,,,
Reality and Other Stories,"Lanchester, John",,039354091X,9780393540918,192,2021,2020,2021,,,,,
Five Total Strangers,"Richards, Natalie D.",,,,299,,2020,2023,thriller,,,,y
