Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17376008,"The Fallen Star (Fallen Star, #1)",Jessica Sorensen,"Sorensen, Jessica",,,,0,3.91,,ebook,419,2011,2011,6/30/14,8/3/23,,,read,,,,1,0
21329243,"The Girl Who Disappeared Twice (Forensic Instincts, Book 1)",Andrea Kane,"Kane, Andrea",,,,0,3.7,MIRA,Kindle Edition,394,2011,2011,,8/3/23,,,read,,,,1,0
18599572,"The Intern (The Intern, #1)",Gabrielle Tozer,"Tozer, Gabrielle",,0732297052,9780732297053,0,3.64,Harper Collins AU,Paperback,327,2014,2014,,8/3/23,,,read,,,,1,0
19880402,The Iron Butterfly (Iron Butterfly #1),Chanda Hahn,"Hahn, Chanda",,1475070373,9781475070378,0,4.2,Createspace Independent Publishing Platform,Paperback,278,2012,2012,,8/3/23,,,read,,,,1,0
17852690,"The Leveller (The Leveller, #1)",Julia Durango,"Durango, Julia",,0062314009,9780062314000,0,3.67,HarperCollins,Hardcover,256,2015,2015,2/4/23,8/3/23,,,read,,,,1,0
21661848,The Light Tamer,Devyn Dawson,"Dawson, Devyn",,,9781476279503,0,3.69,Devyn Dawson,ebook,,2012,2012,,8/3/23,,,read,,,,1,0
25518955,The Ones We Trust,Kimberly Belle,"Belle, Kimberly",,,,0,3.9,MIRA,Kindle Edition,301,2015,2015,,8/3/23,,,read,,,,1,0
16133626,"The Rock Star's Daughter (Treadwell Academy, #1)",Caitlyn Duffy,"Duffy, Caitlyn",,0983398038,9780983398035,0,3.51,Lovestruck Literary,Paperback,318,2011,2011,1/6/16,8/3/23,,,read,,,,1,0
2998,The Secret Garden,Frances Hodgson Burnett,"Burnett, Frances Hodgson",,0517189607,9780517189603,0,4.15,Children's Classics,Hardcover,331,1998,1911,11/20/07,8/3/23,,,read,,,,1,0
490980,"The Secret Language of Girls (The Secret Language of Girls, #1)",Frances O'Roark Dowell,"Dowell, Frances O'Roark",,1416907173,9781416907176,0,3.65,Atheneum Books for Young Readers,Paperback,247,2005,2004,,8/3/23,,,read,,,,1,0
22450211,The Transformation of Minna Hargreaves,Fleur Beale,"Beale, Fleur",,,,0,3.78,Random House New Zealand,Kindle Edition,194,2012,2007,7/15/16,8/3/23,,,read,,,,1,0
35721258,Time Bomb,Joelle Charbonneau,"Charbonneau, Joelle",,0544416708,9780544416703,0,3.73,Clarion Books,Hardcover,340,2018,2018,1/28/23,8/3/23,,,read,,,,1,0
15827698,Time's Daughter,Anya Breton,"Breton, Anya",,,9781476136035,0,3.76,Anya Breton,ebook,,2012,2011,,8/3/23,,,read,,,,1,0
17141419,Triple Ripple: A Fabulous Fairytale,Brigid Lowry,"Lowry, Brigid",,1742692664,9781742692661,0,3.54,Allen & Unwin,ebook,252,2011,2011,,8/3/23,,,read,,,,1,0
13402447,"UnEnchanted (An Unfortunate Fairy Tale, #1)",Chanda Hahn,"Hahn, Chanda",,,,0,3.9,Chanda Hahn,Kindle Edition,235,2011,2011,,8/3/23,,,read,,,,1,0
28435891,"Verity (Cursed, #1)",Claire Farrell,"Farrell, Claire",,,,0,3.79,Smashwords,ebook,251,2011,2011,,8/3/23,,,read,,,,1,0
16117888,"Wake (Watersong, #1)",Amanda Hocking,"Hocking, Amanda",,1250005647,9781250005649,0,3.69,St. Martin's Griffin,Paperback,309,2013,2012,,8/3/23,,,read,,,,1,0
18281848,"Wanted (Wanted, #1)",Kelly Elliott,"Elliott, Kelly","Nelson Hobbs, Arika Rapson",1452665524,9781452665528,0,3.96,Tantor Media,Audio CD,,2013,2012,12/27/16,8/3/23,,,read,,,,1,0
15740725,Wayward,Ashley Girardi,"Girardi, Ashley",,,9781458137555,0,3.46,Smashwords,ebook,,2011,2011,,8/3/23,,,read,,,,1,0
11560914,Whisper,Chrissie Keighery,"Keighery, Chrissie",,1921759321,9781921759321,0,4.04,Hardie Grant Egmont,Paperback,256,2011,2011,,8/3/23,,,read,,,,1,0
34657044,"Whispers of the Damned (Ghost Games, #1)",Jamie Magee,"Magee, Jamie",,,,0,3.95,,Kindle Edition,189,2013,2012,,8/3/23,,,read,,,,1,0
33620065,Wide Awake (Academy of the Fallen #1),Daniele Lanzarotta,"Lanzarotta, Daniele",,,,0,3.5,,Kindle Edition,280,2016,2011,,8/3/23,,,read,,,,1,0
52482289,"Winterborne (Universe Unbound, #1)",Augusta Blythe,"Blythe, Augusta",,,,0,3.83,Red Palm Press LLC,ebook,372,2019,2011,,8/3/23,,,read,,,,1,0
43706466,10 Minutes 38 Seconds in This Strange World,Elif Shafak,"Shafak, Elif",,0241293863,9780241293867,0,4.09,Viking,Hardcover,312,2019,2019,,8/4/23,,,read,,,,1,0
56734180,2084 Video Study: Artificial Intelligence and the Future of Humanity,John C. Lennox,"Lennox, John C.",,0310109604,9780310109600,0,3.98,Zondervan,DVD,,2020,2020,5/15/21,8/4/23,,,read,,,,1,0
9584310,"A Chance for Charity (The Immortal Ones, #1)",S.L. Baum,"Baum, S.L.",,1453778039,9781453778036,0,3.61,Createspace Independent Publishing Platform,Paperback,304,2010,2010,,8/4/23,,,read,,,,1,0
40126210,"A Conspiracy in Belgravia (Lady Sherlock, #2)",Sherry Thomas,"Thomas, Sherry",,,,0,4.1,Blackstone Audio,Audible Audio,,2017,2017,5/15/21,8/4/23,,,read,,,,1,0
20518823,A History of America in Thirty-Six Postage Stamps,Chris West,"West, Chris",,1250043689,9781250043689,0,4.05,Picador,Hardcover,352,2014,2014,,8/4/23,,,read,,,,1,0
171020,A Mango-Shaped Space,Wendy Mass,"Mass, Wendy",,0316058254,9780316058254,0,4.21,"Little, Brown and Company",Paperback,221,2005,2005,12/24/14,8/4/23,,,read,,,,1,0
6087536,A Photographic Guide To Mushrooms And Other Fungi Of New Zealand (Photographic Guide),G.S. Ridley,"Ridley, G.S.",,1869661346,9781869661342,0,3,New Holland Publishers,Paperback,143,2006,,5/15/21,8/4/23,,,read,,,,1,0
51182622,A Star Is Bored,Byron Lane,"Lane, Byron",,1250266491,9781250266491,0,3.57,Henry Holt & Company,Hardcover,343,2020,2020,6/13/21,8/4/23,,,read,,,,1,0
7505716,Alice's Adventures in Wonderland & Other Stories,Lewis Carroll,"Carroll, Lewis",John Tenniel,1435122941,9781435122949,0,4.26,Barnes & Noble,Hardcover,1165,2010,1982,11/20/14,8/4/23,,,read,,,,1,0
13602390,"Alone (The Girl in the Box, #1)",Robert J. Crane,"Crane, Robert J.",,,,0,3.91,Robert J. Crane,Kindle Edition,166,2012,2012,,8/4/23,,,read,,,,1,0
46263944,"American Sherlock: Murder, Forensics, and the Birth of American CSI",Kate Winkler Dawson,"Dawson, Kate Winkler",,0525539557,9780525539551,0,3.66,G.P. Putnam's Sons,Hardcover,336,2020,2020,1/9/21,8/4/23,,,read,,,,1,0
1527166,An Urgent Message of Wowness,Karen McCombie,"McCombie, Karen",,0439951143,9781407104386,0,3.61,Scholastic,Paperback,256,2007,2006,9/21/13,8/4/23,,,read,,,,1,0
11449247,"Anathema (Causal Enchantment, #1)",K.A. Tucker,"Tucker, K.A.",,0986915505,9780986915505,0,3.8,Papoti Books,Paperback,284,2011,2011,,8/4/23,,,read,,,,1,0
43263479,Art of Reading Minds,Henrik Fexeus,"Fexeus, Henrik",,1250236401,9781250236401,0,3.54,St. Martin's Essentials,Paperback,252,2019,2007,,8/4/23,,,read,,,,1,0
12846930,"Awakening (The Watchers, #1)",Karice Bolton,"Bolton, Karice",,0615535186,9780615535180,0,3.68,Purely Persistent,Paperback,312,2011,2011,,8/4/23,,,read,,,,1,0
12777901,"Barefoot Season (Blackberry Island, #1)",Susan Mallery,"Mallery, Susan",,0778313387,9780778313380,0,3.99,MIRA,Paperback,368,2012,2012,,8/4/23,,,read,,,,1,0
13548078,"Better Than Chocolate (Life in Icicle Falls, #1)",Sheila Roberts,"Roberts, Sheila",,077831345X,9780778313458,0,3.74,MIRA,Mass Market Paperback,372,2012,2012,,8/4/23,,,read,,,,1,0
3097734,Black Box,Julie Schumacher,"Schumacher, Julie",,0385735421,9780385735421,0,3.76,Delacorte Books for Young Readers,Hardcover,176,2008,2000,,8/4/23,,,read,,,,1,0
17379473,"BlackMoon Beginnings (Prophesized, #1)",Kaitlyn Hoyt,"Hoyt, Kaitlyn",,,,0,4.09,Kaitlyn Hoyt,ebook,248,2013,2013,,8/4/23,,,read,,,,1,0
37739,Blubber,Judy Blume,"Blume, Judy",,,,0,3.79,Macmillan Children's Books,Paperback,127,2006,1974,6/25/07,8/4/23,,,read,,,,1,0
12801856,"Bound (Arelia LaRue, #1)",Kira Saito,"Saito, Kira",,,2940032871132,0,3.79,Smashwords,Nook,153,2011,2011,,8/4/23,,,read,,,,1,0
23177764,"Bound (Forbidden, #1)",Melody Anne,"Anne, Melody",,1500395447,9781500395445,0,4.04,Createspace Independent Publishing Platform,Paperback,484,2014,2014,,8/4/23,,,read,,,,1,0
20754848,"Breaking Rules (Breaking, #1)",Tracie Puckett,"Puckett, Tracie",,,,0,3.78,Tracie Puckett,Kindle Edition,250,2014,2014,,8/4/23,,,read,,,,1,0
51852426,Bubblegum,Adam Levin,"Levin, Adam","Mark Deakins, Michael Crouch, Julia Whelan",0593169344,9780593169346,0,3.77,Random House Audio,Audiobook,36,2020,2020,,8/4/23,,,read,,,,1,0
33927878,Calling Major Tom,David M.  Barnett,"Barnett, David M.",,,,0,4.12,Trapeze,Kindle Edition,338,2017,2017,9/6/21,8/4/23,,,read,,,,1,0
16035990,Close Your Pretty Eyes,Sally Nicholls,"Nicholls, Sally",,1407124323,9781407124322,0,3.81,Marion Lloyd Books,Paperback,292,2013,2013,,8/4/23,,,read,,,,1,0
138861498,"Color Me Series (set of 9) faded denim, fool’s gold, bitter rose, torch red, bright purple, dark blue, deep green, blade silver, burnt orange",Melody Carson,"Carson, Melody",,,,0,0,NavPress,Paperback,,2017,,8/15/15,8/4/23,,,read,,,,1,0
49786087,Coming Up for Air,Sarah Leipciger,"Leipciger, Sarah",,1487006500,9781487006501,0,3.84,House of Anansi Press,Paperback,320,2020,2020,1/9/21,8/4/23,,,read,,,,1,0
11283685,"Crossroads (Crossroads Saga, #1)",Mary Ting,"Ting, Mary",,1937085767,9781937085766,0,3.72,World Castle,ebook,315,2011,2011,,8/4/23,,,read,,,,1,0
18893478,"Dangerous (Dangerous Trilogy, #1)",Suzannah Daniels,"Daniels, Suzannah",,,,0,3.66,,Kindle Edition,214,2013,2013,,8/4/23,,,read,,,,1,0
37589179,"Dead Astronauts (Borne, #2)",Jeff VanderMeer,"VanderMeer, Jeff",,,,0,3.36,Fourth Estate,Kindle Edition,352,2019,2019,9/6/21,8/4/23,,,read,,,,1,0
42576079,Diary of a Fat Girl (Burn Diaries Book 1),Moira Mugweni,"Mugweni, Moira",,,,0,4.04,,Kindle Edition,242,2018,2015,12/24/16,8/4/23,,,read,,,,1,0
